"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 종로구청",서울특별시 종로구 지봉로5길 5,서울특별시 종로구 창신동 237,다목적,3,200,360도전방면,30,2015-12,02-2148-4301,37.574241,127.015142,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 창신4가길 18,서울특별시 종로구 창신동 647-9,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.5744464,127.010299,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 창신11길 26,서울특별시 종로구 창신동 23-557,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.578591,127.010297,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 지봉로5길 43,서울특별시 종로구 창신동 114-2,생활방범,2,200,360도전방면,30,2015-12,02-2148-4301,37.575634,127.013983,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 지봉로 100-16,서울특별시 종로구 숭인동 11-2,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.579356,127.015745,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 동망산1길 13,서울특별시 종로구 숭인동 32-26,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.578975,127.017701,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 지봉로12가길 54,서울특별시 종로구 숭인동 70-12,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.574895,127.016835,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 종로 351-6,서울특별시 종로구 숭인동 97,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.573615,127.016547,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 종로57길 5-4,서울특별시 종로구 숭인동 100-1,생활방범,1,200,카메라 전면(고정),30,2015-12,02-2148-4301,37.573557,127.016691,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 숭인동1가길 28,서울특별시 종로구 숭인동 672,생활방범,4,200,360도전방면,30,2015-12,02-2148-4301,37.5778201,127.021516,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 창경궁로31길 22,서울특별시 종로구 명륜2가 159-3,생활방범,1,200,카메라 전면(고정),30,2015-12,02-2148-4301,37.584274,126.998603,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 숭인동1다길 23-4,서울특별시 종로구 숭인동 181-152,생활방범,4,200,360도전방면,30,2015-12,02-2148-4301,37.577001,127.018902,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 지봉로5길 7-5,서울특별시 종로구 창신동 222-8,생활방범,3,200,카메라 전면(고정),30,2015-12,02-2148-4301,37.573614,127.014415,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 동순라길 78-3,서울특별시 종로구 원남동 265,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.574079,126.996355,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 보문로3길 11,서울특별시 종로구 숭인동 1147,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.576571,127.022696,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 홍지문길 28,서울특별시 종로구 홍지동 69-3,생활방범,4,200,360도전방면,30,2015-12,02-2148-4301,37.6016577,126.957049,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 지봉로7길 23,서울특별시 종로구 창신동 67,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.5753611,127.015225,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 사직로1마길 2-6,서울특별시 종로구 행촌동 210-174,생활방범,4,200,360도전방면,30,2015-12,02-2148-4301,37.574248,126.962736,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 사직로1다길 11,서울특별시 종로구 행촌동 210-333,생활방범,1,200,카메라 전면(고정),30,2017-09,02-2148-4301,37.574215,126.962871,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로42길 57,서울특별시 종로구 신영동 158-5,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.600351,126.962784,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 백석동길 259,서울특별시 종로구 부암동 151,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.597277,126.966233,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 명륜3길 10,서울특별시 종로구 명륜3가 1-28,생활방범,3,200,360도전방면,30,2015-12,02-2148-4301,37.588888,126.994202,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 성균관로13길 13,서울특별시 종로구 명륜1가 7-2,생활방범,4,200,360도전방면,30,2015-12,02-2148-4301,37.589798,126.9969789,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 옥인6길 39,서울특별시 종로구 누상동 166-16,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5803648,126.9648476,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 옥인6길 23,서울특별시 종로구 누상동 166-125,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.580918,126.964765,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 옥인6길 32,서울특별시 종로구 누상동 166-214,생활방범,1,200,카메라 전면(고정),30,2013-12,02-2148-4301,37.580905,126.964573,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 옥인3길 32-1,서울특별시 종로구 누상동 166-3,생활방범,3,200,360도전방면,30,2013-12,02-2148-4301,37.5799517,126.9656944,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 옥인길 40,서울특별시 종로구 옥인동 171-1,생활방범,4,200,360도전방면,30,2012-02,02-2148-4301,37.581068,126.966577,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 필운대로5나길 26,서울특별시 종로구 누상동 80,생활방범,2,200,360도전방면,30,2011-04,02-2148-4301,37.5800658,126.9669432,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 필운대로5나길 26,서울특별시 종로구 누상동 80,생활방범,1,41,카메라 전면(고정),30,2011-04,02-2148-4301,37.5800658,126.9669432,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로23길 19,서울특별시 종로구 신교동 17-47,생활방범,3,200,360도전방면,30,2013-12,02-2148-4301,37.583301,126.969177,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 필운대로 116,서울특별시 종로구 신교동 59,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5837314,126.9701915,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 필운대로13길 17-1,서울특별시 종로구 신교동 2-20,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5849689,126.9666258,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 옥인6가길 8,서울특별시 종로구 누상동 166-114,생활방범,3,200,360도전방면,30,2013-12,02-2148-4301,37.5815663,126.964933,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로14길 13,서울특별시 종로구 창성동 98-2,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5806947,126.9716901,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로30길 15,서울특별시 종로구 청운동 82,생활방범,3,200,360도전방면,30,2013-12,02-2148-4301,37.5855045,126.9707093,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로33다길 28,서울특별시 종로구 청운동 52-50,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5874034,126.9669442,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로33가길 6,서울특별시 종로구 청운동 52-6,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5866397,126.9684822,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로33가길 27,서울특별시 종로구 청운동 53-76,생활방범,2,200,360도전방면,30,2011-04,02-2148-4301,37.5875512,126.9682904,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로33가길 27,서울특별시 종로구 청운동 53-76,생활방범,1,41,카메라 전면(고정),30,2011-04,02-2148-4301,37.5875512,126.9682904,2018-02-09
"서울특별시 종로구청",서울특별시 종로구 자하문로33길 2,서울특별시 종로구 청운동 59-1,생활방범,2,200,360도전방면,30,2011-04,02-2148-4301,37.5861563,126.969818,2018-02-09
